
   id asn_v4 asn_v6 country     status     
  505  15527      -   fi       Abandoned   
  506  47834      -   cz       Abandoned   
  507  50620  50620   fr       Connected   
  508  35540      -   fr       Abandoned   
  509  24935      -   fr       Abandoned   
  510      -      -   fr       Abandoned   
  511  15557      -   fr       Abandoned   
  512      -      -   fr    Never Connected
  513    719      -   fi       Connected   
  514      -      -   fi       Abandoned   
  515      -      -            Abandoned   
  516  51541      -   ir       Abandoned   
  517 199422      -   fr       Abandoned   
  518  29075  29075   fr       Connected   
  519  51155  51155   pl       Abandoned   
  520      -      -            Abandoned   
  521  44395      -   am       Abandoned   
  522      -      -            Abandoned   
  523 197422 197422   fr       Abandoned   
  524   5408   5408   gr       Abandoned   
  525  48957      -   ua       Abandoned   
  526  13030  13030   ch       Abandoned   
  527      -      -            Abandoned   
  528      -      -   sa       Abandoned   
  529  51088      -   nl       Abandoned   
  530      -      -   tn       Abandoned   
  531      -      -   sa       Abandoned   
  532  12322  12322   fr       Abandoned   
  533  24851  24851   im       Connected   
  534      -      -   fr    Never Connected
  535      -      -   nl       Abandoned   
  536      -      -            Abandoned   
  537      -      -   dk       Abandoned   
  538  16154  16154   bg       Abandoned   
  539  15782  15782   se       Connected   
  540      -      -   se       Abandoned   
  541  35819  35819   sa       Abandoned   
  542    719      -   fi       Abandoned   
  543 201080      -   fr       Connected   
  544      -      -   fr    Never Connected
  545      -      -   ru       Abandoned   
  546      -      -   fi       Abandoned   
  547      -      -            Abandoned   
  548      -      -            Abandoned   
  549   8412      -   at       Connected   
  550  12322  12322   fr       Connected   
  551      -      -            Abandoned   
  552  50087      -   fr       Abandoned   
  553  12322  12322   fr       Abandoned   
  554      -      -            Abandoned   
  555    680    680   de       Connected   
  556  31213      -   ru       Abandoned   
  557   3215      -   fr       Abandoned   
  558   8426  12628   gb       Connected   
  559   5408   5408   gr       Abandoned   
  560   8881      -   de       Connected   
  561      -      -            Abandoned   
  562      -      -   ru       Abandoned   
  563  13306  13306   bg       Connected   
  564      -      -   fr       Abandoned   
  565      -      -   by       Abandoned   
  566    760   1853   at       Abandoned   
  567   2609   2609   tn       Connected   
  568  16073      -   fr       Abandoned   
  569      -      -   jp       Abandoned   
  570  29297      -   gb       Connected   
  571 202236      -   fr       Abandoned   
  572 204279 204279   lu       Connected   
  573  35625      -   fr       Abandoned   
  574   3292   3292   no       Abandoned   
  575   6739      -   es       Abandoned   
  576  15527      -   fi       Abandoned   
